Date,Description,Amount,Source,Transaction_Type,Notes
2025-01-06,DoorDash Inc - Direct Deposit,$56.78,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-08,Uber San Francisco CA,$14.48,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-09,Uber San Francisco CA,$3.66,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-09,DoorDash Inc San Francisco CA,$42.81,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-10,Uber San Francisco CA,$9.21,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-10,DoorDash Inc San Francisco CA,$4.51,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-10,Uber San Francisco CA,$8.30,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-11,DoorDash Inc San Francisco CA,$6.51,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-11,Uber San Francisco CA,$44.12,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-12,Uber San Francisco CA,$39.43,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-12,Uber San Francisco CA,$40.57,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-12,Uber San Francisco CA,$24.63,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-13,Uber San Francisco CA,$12.71,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-13,Uber San Francisco CA,$4.50,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-13,UBER USA LLC PART. PYMT,$11.94,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-14,DoorDash Inc San Francisco CA,$2.34,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-14,Uber San Francisco CA,$23.65,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-15,Uber San Francisco CA,$10.05,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-16,Uber San Francisco CA,$11.86,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-16,Uber San Francisco CA,$15.28,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-16,Uber San Francisco CA,$43.13,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-16,Uber San Francisco CA,$8.60,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-19,Uber San Francisco CA,$34.48,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-19,Uber San Francisco CA,$15.70,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-21,Uber San Francisco CA,$24.48,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-21,DoorDash Inc San Francisco CA,$5.01,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-21,UBER USA LLC PART. PYMT,$33.53,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-22,Uber San Francisco CA,$9.31,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-22,DoorDash Inc San Francisco CA,$9.91,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-25,DoorDash Inc San Francisco CA,$3.76,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-01-25,Uber San Francisco CA,$17.60,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-27,UBER USA LLC PART. PYMT,$11.03,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-01-30,OASISBATCH PAYROLL,$92.35,Oasis/Employer,Employment Income,W-2 wages
2025-02-03,UBER USA LLC PART. PYMT,$27.96,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
2025-02-06,OASISBATCH PAYROLL,$275.90,Oasis/Employer,Employment Income,W-2 wages
2025-02-13,OASISBATCH PAYROLL,$230.87,Oasis/Employer,Employment Income,W-2 wages
2025-02-20,OASISBATCH PAYROLL,$440.60,Oasis/Employer,Employment Income,W-2 wages
2025-02-27,DoorDash Inc San Francisco CA,$48.51,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-02-27,OASISBATCH PAYROLL,$399.43,Oasis/Employer,Employment Income,W-2 wages
2025-03-01,DoorDash Inc San Francisco CA,$167.99,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-02,DoorDash Inc San Francisco CA,$109.26,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-03,DoorDash Inc - Direct Deposit,$38.75,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-06,OASISBATCH PAYROLL,$275.90,Oasis/Employer,Employment Income,W-2 wages
2025-03-06,DoorDash Inc San Francisco CA,$107.76,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-07,DoorDash Inc San Francisco CA,$28.51,DoorDash,Gig Economy Income,Delivery driver income - Schedule C
2025-03-07,Uber San Francisco CA,$24.89,Uber,Gig Economy Income,Rideshare/delivery income - Schedule C
